"taxonomy","alias name","ref slug"
"music_style","African Blues","afro-blues"
"music_style","African Boogie","afro-boogie"
"music_style","Afroboogie","afro-boogie"
"music_style","African Disco","afro-disco"
"music_style","Afrodisco","afro-disco"
"music_style","African Folk","afro-folk"
"music_style","Afrofolk","afro-folk"
"music_style","Afrofunk","afro-funk"
"music_style","African Funk","afro-funk"
"music_style","African Garage","afro-garage"
"music_style","Afrojazz","afro-jazz"
"music_style","African Jazz","afro-jazz"
"music_style","Afrolatin","afro-latin"
"music_style","African Latin Music","afro-latin"
"music_style","Afro Cuban","afro-latin"
"music_style","African Psychedelia","afro-psych"
"music_style","Afropsych","afro-psych"
"music_style","Afrosoul","afro-soul"
"music_style","African Soul","afro-soul"
"music_style","Afro Beat","afrobeat"
"region","Algerie","algeria"
"region","Algérie","algeria"
"region","Barbade","barbados"
"region","La Barbade","barbados"
"music_style","Cadence Lypso","calypso"
"region","Cameroun","cameroon"
"region","Mboa","cameroon"
"region","Cap Vert","cape-verde"
"region","Cap-Vert","cape-verde"
"region","Cabo Verde","cape-verde"
"region","RCA","centrafrican-republic"
"region","Republique Centrafricaine","centrafrican-republic"
"region","République Centrafricaine","centrafrican-republic"
"region","Comores","comoros"
"region","Les Comores","comoros"
"region","RDC","democratic-republic-of-congo"
"region","Congo RDC","democratic-republic-of-congo"
"region","Congo Kinshasa","democratic-republic-of-congo"
"region","Zaire","democratic-republic-of-congo"
"region","Zaïre","democratic-republic-of-congo"
"region","Congo Zaïre","democratic-republic-of-congo"
"region","Democratic Republic Of The Congo","democratic-republic-of-congo"
"region","Dominique","dominica"
"region","Dominica Island","dominica"
"region","Egypte","egypt"
"region","égypte","egypt"
"region","Guinée Equatoriale","equatorial-guinea"
"region","Guinee Equatoriale","equatorial-guinea"
"region","Guinee Equato","equatorial-guinea"
"region","Ethiopie","ethiopia"
"music_style","Funaná","funana"
"region","Gambie","gambia"
"music_style","Gnaoua","gnawa"
"region","Gwadloup","guadeloupe"
"music_style","Guaguancó","guaguanco"
"region","Guinee Bissau","guinea-bissau"
"region","Guinee Conakry","guinea-conakry"
"region","Guinee","guinea-conakry"
"region","Guinea","guinea-conakry"
"region","Guyane","French Guiana"
"region","Guyane Francaise","French Guiana"
"region","Haïti","haiti"
"region","Ayiti","haiti"
"region","Irak","iraq"
"music_style","West Indies Funk","island-funk"
"music_style","Caribbean Funk","island-funk"
"music_style","West Indies Jazz","island-jazz"
"music_style","Caribbean Jazz","island-jazz"
"music_style","West Indies Soul","island-soul"
"music_style","Caribbean Soul","island-soul"
"region","Cote d'Ivoire","ivory-coast"
"region","Côte d'Ivoire","ivory-coast"
"region","Jamaique","jamaica"
"region","Jamaïque","jamaica"
"region","Japon","japan"
"region","La Reunion","la-reunion"
"region","Reunion","la-reunion"
"region","Liban","lebanon"
"region","Libye","libya"
"music_style","Mako Funk","makossa"
"music_style","Makofunk","makossa"
"region","Malaisie","malaysia"
"region","Madinina","martinique"
"region","Mauritanie","mauritania"
"region","Maurice","mauritius"
"region","Ile Maurice","mauritius"
"region","île Maurice","mauritius"
"region","Maroc","morocco"
"region","Namibie","namibia"
"region","Nigéria","nigeria"
"music_style","Psychedelic","psychedelia"
"music_style","Psych","psychedelia"
"music_style","Raï","rai"
"region","Congo","republic-of-congo"
"region","Republic of the Congo","republic-of-congo"
"region","Congo Brazza","republic-of-congo"
"region","Congo Brazzaville","republic-of-congo"
"region","Sénégal","senegal"
"music_style","Soukouss","soukous"
"music_style","Soukouss","soukous"
"region","Afrique du Sud","south-africa"
"region","Thaïlande","thailand"
"region","Thailande","thailand"
"region","Trinidad And Tobago","trinidad-tobago"
"region","Trinidad And Tobago","trinidad-tobago"
"region","Trinité Et Tobago","trinidad-tobago"
"region","Tunisie","tunisia"
"region","Turquie","turkey"
"region","Turkiye","turkey"
"region","Zambie","zambia"
